Name,LineID,Flux,eFlux,FWHM,eFWHM,Blueshift,eBlueshift,Luminosity,eLuminosity,Percentage,ePercentage
J0217-00,[OIII]5007n2,7.65e-16,3.45e-16,577.2,119.3,225.47,123.58,3.03e+41,1.37e+41,0.193,0.087
J0217-00,[OIII]5007n1,9.56e-16,3.45e-16,526.3,89.4,-164.32,58.05,3.79e+41,1.37e+41,0.241,0.087
J0217-00,[OIII]4959n1,3.16e-16,1.14e-16,526.3,89.4,-164.32,58.05,1.25e+41,4.52e+40,0.241,0.087
J0217-00,[OIII]4959i,7.43e-16,7.19e-17,1525.8,40.1,-297.54,32.44,2.94e+41,2.85e+40,0.566,0.055
J0217-00,[OIII]5007i,2.25e-15,2.18e-16,1525.8,40.1,-297.54,32.44,8.91e+41,8.63e+40,0.566,0.055
J0217-01,[OIII]4959r,4.78e-17,7.83e-17,504.0,331.8,664.25,240.01,2.32e+40,3.80e+40,0.074,0.122
J0217-01,[OIII]5007r,1.45e-16,2.35e-16,504.0,331.8,664.25,240.01,7.02e+40,1.14e+41,0.074,0.121
J0217-01,[OIII]4959n,3.20e-16,8.46e-17,526.3,83.7,0.00,18.90,1.55e+41,4.10e+40,0.498,0.132
J0217-01,[OIII]4959i,2.75e-16,1.71e-16,1360.7,343.9,-113.65,174.29,1.33e+41,8.31e+40,0.428,0.267
J0217-01,[OIII]5007n,9.69e-16,2.54e-16,526.3,83.7,0.00,18.90,4.70e+41,1.23e+41,0.498,0.130
J0217-01,[OIII]5007i,8.32e-16,5.14e-16,1360.7,343.9,-113.65,174.29,4.03e+41,2.49e+41,0.428,0.264
J0218-00,[OIII]5007n2,9.61e-16,3.21e-16,616.2,77.6,-193.01,107.73,4.57e+41,1.53e+41,0.217,0.073
J0218-00,[OIII]4959n2,3.17e-16,1.07e-16,616.2,77.6,-193.01,107.73,1.51e+41,5.10e+40,0.217,0.073
J0218-00,[OIII]5007n1,3.47e-15,2.32e-16,503.4,40.9,43.75,36.80,1.65e+42,1.10e+41,0.783,0.052
J0218-00,[OIII]4959n1,1.14e-15,7.73e-17,503.4,40.9,43.75,36.80,5.44e+41,3.68e+40,0.783,0.053
J0227+01,[OIII]5007n2,1.76e-15,4.07e-16,598.2,32.9,6.41,7.09,7.90e+41,1.83e+41,0.578,0.134
J0227+01,[OIII]5007n1,5.94e-16,3.01e-16,418.4,45.5,-13.26,7.30,2.67e+41,1.35e+41,0.195,0.099
J0227+01,[OIII]4959n2,5.80e-16,1.34e-16,598.2,32.9,6.41,7.09,2.61e+41,6.04e+40,0.578,0.134
J0227+01,[OIII]4959i,2.27e-16,4.31e-17,1168.9,53.6,126.71,23.14,1.02e+41,1.94e+40,0.226,0.043
J0227+01,[OIII]5007i,6.87e-16,1.31e-16,1168.9,53.6,126.71,23.14,3.09e+41,5.86e+40,0.226,0.043
J0227+01,[OIII]4959n1,1.96e-16,9.94e-17,418.4,45.5,-13.26,7.30,8.81e+40,4.47e+40,0.195,0.099
J0234-07,[OIII]5007n1,2.52e-15,3.06e-17,395.2,1.8,63.07,0.87,7.85e+41,9.53e+39,0.456,0.006
J0234-07,[OIII]4959n2,3.47e-16,1.22e-17,589.9,12.5,-225.92,9.32,1.08e+41,3.78e+39,0.190,0.007
J0234-07,[OIII]5007n2,1.05e-15,3.68e-17,589.9,12.5,-225.92,9.32,3.27e+41,1.15e+40,0.190,0.007
